venta_id,vehiculo_id,fecha_venta,region_vendedor,precio_venta_real,kilometraje_venta,servicios_realizados,coste_mantenimiento_anual,incidencias_mecanicas,valor_residual_estimado
VT001,VH001,2023-03-01,Cataluña,34536,168,0,992,0,12937
VT002,VH001,2023-01-24,País Vasco,31929,9835,1,992,0,6894
VT003,VH001,2023-10-11,País Vasco,30964,16270,3,992,0,10366
VT004,VH002,2023-10-20,Andalucía,31897,44127,0,1030,0,6739
VT005,VH003,2023-08-27,Andalucía,34964,20361,2,896,3,18098
VT006,VH004,2023-05-30,Valencia,35443,48468,4,1004,2,8611
VT007,VH005,2023-04-11,Valencia,38881,16064,1,876,3,27876
VT008,VH005,2023-10-05,Andalucía,37915,45446,0,876,0,28023
VT009,VH006,2023-07-12,Andalucía,33003,34721,1,758,0,37900
VT010,VH006,2023-03-14,Andalucía,32920,15169,6,758,0,37900
VT011,VH006,2023-07-10,País Vasco,39602,5564,4,758,1,37900
VT012,VH007,2023-02-08,Valencia,28040,28507,5,682,0,19870
VT013,VH007,2023-05-14,Andalucía,30125,25752,5,682,0,19442
VT014,VH008,2023-05-20,Cataluña,35116,13284,1,1062,0,12614
VT015,VH008,2023-03-21,Madrid,35845,30543,2,1062,0,13008
VT016,VH009,2023-08-20,Andalucía,28563,7858,0,656,2,23251
VT017,VH010,2023-11-05,Madrid,25897,21482,1,680,1,16450
VT018,VH010,2023-07-22,Valencia,24934,19584,2,680,0,20104
VT019,VH010,2023-07-27,País Vasco,27875,36052,1,680,0,17177
VT020,VH011,2023-03-04,Madrid,34493,14567,1,900,3,26424
VT021,VH012,2023-11-27,Madrid,30734,16962,6,636,0,31800
VT022,VH012,2023-11-27,País Vasco,32177,6027,6,636,0,31800
VT023,VH012,2023-01-22,País Vasco,27352,37610,3,636,0,31800
VT024,VH013,2023-07-15,País Vasco,25210,14071,1,570,3,28500
VT025,VH014,2023-11-11,Valencia,32317,42420,2,814,0,14673
VT026,VH015,2023-02-01,Madrid,26454,8993,3,584,1,29200
VT027,VH015,2023-10-06,Madrid,30598,46751,2,584,0,29200
VT028,VH016,2023-10-17,Valencia,50653,17723,1,1358,1,24160
VT029,VH016,2023-05-24,Madrid,56050,30912,4,1358,0,17220
VT030,VH017,2023-03-23,Madrid,24019,15804,2,684,0,12231
VT031,VH018,2023-01-29,Cataluña,30209,25455,2,876,0,7470
VT032,VH018,2023-03-30,Cataluña,28086,20840,6,876,0,11194
VT033,VH018,2023-10-30,Madrid,31009,23047,4,876,0,9858
VT034,VH019,2023-09-10,Valencia,32278,32141,0,958,1,10881
VT035,VH020,2023-09-27,País Vasco,22954,40247,1,590,0,22030
VT036,VH021,2023-06-15,Madrid,31100,38444,5,978,0,10018
VT037,VH022,2023-07-06,Madrid,27557,43393,3,596,0,29800
VT038,VH022,2023-06-15,Cataluña,31146,47995,3,596,0,29800
VT039,VH022,2023-11-29,Andalucía,26368,36829,5,596,0,29800
VT040,VH023,2023-04-25,Valencia,59659,24797,2,1478,0,17978
VT041,VH023,2023-04-01,Madrid,61242,37541,3,1478,0,12558
VT042,VH024,2023-01-17,Cataluña,33190,40067,1,734,0,28714
VT043,VH024,2023-09-12,Cataluña,31335,5099,1,734,0,27977
VT044,VH024,2023-11-22,Madrid,34690,43910,5,734,0,27922
VT045,VH025,2023-05-16,Cataluña,24567,4442,2,846,0,6052
VT046,VH026,2023-07-17,País Vasco,52516,10901,3,1354,0,15120
VT047,VH027,2023-07-12,Madrid,33317,37883,5,756,0,22457
VT048,VH027,2023-08-20,Madrid,33123,2189,2,756,2,18689
VT049,VH027,2023-02-07,Andalucía,28996,24606,1,756,0,20746
VT050,VH028,2023-06-23,Valencia,27223,31636,5,670,1,12783
VT051,VH029,2023-03-22,Madrid,39858,13470,1,1166,0,14507
VT052,VH029,2023-10-04,Andalucía,44981,19490,1,1166,3,14347
VT053,VH030,2023-03-20,Madrid,50258,28023,0,1190,3,37548
VT054,VH030,2023-01-14,Cataluña,48187,19124,0,1190,0,38313
VT055,VH031,2023-08-30,País Vasco,36940,17367,0,1018,0,10233
VT056,VH031,2023-07-09,País Vasco,33167,29214,0,1018,3,11209
VT057,VH032,2023-10-16,Madrid,37586,45643,5,1054,2,14947
VT058,VH032,2023-07-31,Valencia,38238,3996,6,1054,0,17293
VT059,VH033,2023-12-18,País Vasco,54014,15443,3,1170,3,42544
VT060,VH033,2024-01-01,Madrid,53224,33870,6,1170,0,42097
VT061,VH033,2023-03-17,Madrid,58232,29428,1,1170,0,46664
VT062,VH034,2023-04-09,Cataluña,41553,5135,5,1018,0,36313
VT063,VH035,2023-03-17,Valencia,43456,47651,6,964,3,48200
VT064,VH035,2023-10-10,Andalucía,49228,34058,3,964,0,48200
VT065,VH035,2023-12-25,Valencia,46634,27498,0,964,0,48200
VT066,VH036,2023-10-26,Madrid,34465,36876,6,766,2,19399
VT067,VH036,2023-06-26,País Vasco,30064,42912,3,766,0,21456
VT068,VH036,2023-03-30,Andalucía,30989,40517,4,766,0,21839
VT069,VH037,2023-06-19,Cataluña,27859,31143,2,848,0,16753
VT070,VH037,2023-06-05,Andalucía,29357,32218,6,848,0,16145
VT071,VH038,2023-03-10,Andalucía,35629,29039,6,982,0,10601
VT072,VH039,2023-11-06,Madrid,38521,13853,6,918,0,34787
VT073,VH039,2023-09-22,Andalucía,44016,33768,6,918,2,33810
VT074,VH040,2023-03-11,Valencia,35085,1897,1,984,1,6925
VT075,VH040,2023-05-08,Madrid,32192,23617,5,984,2,6998
VT076,VH041,2023-07-23,Madrid,41225,15855,2,1136,0,11408
VT077,VH041,2023-08-31,Valencia,40139,22560,1,1136,0,13097
VT078,VH041,2023-12-19,Madrid,37913,25333,0,1136,1,8331
VT079,VH042,2023-04-26,Cataluña,29193,26837,4,746,0,20806
VT080,VH042,2023-03-09,Cataluña,31338,554,1,746,2,19587
VT081,VH042,2023-12-30,Andalucía,30193,24672,6,746,0,21974
VT082,VH043,2023-06-04,Valencia,32171,26027,4,884,2,9995
VT083,VH043,2023-11-01,Valencia,28737,44853,0,884,0,11495
VT084,VH044,2023-11-24,Andalucía,38132,17114,5,746,0,37300
VT085,VH044,2023-06-02,Cataluña,32823,15748,0,746,0,37300
VT086,VH045,2023-07-26,Andalucía,28401,47270,0,626,0,21607
VT087,VH045,2023-05-13,País Vasco,26810,48282,0,626,0,21615
VT088,VH045,2023-04-08,Andalucía,28665,14572,5,626,0,22219
VT089,VH046,2023-07-03,Valencia,31942,11140,6,852,0,17582
VT090,VH046,2023-05-31,Madrid,33140,48556,2,852,0,17576
VT091,VH046,2023-04-04,Andalucía,34429,14565,2,852,2,18512
VT092,VH047,2023-07-10,Andalucía,32495,30393,6,722,0,25649
VT093,VH047,2023-10-26,Valencia,34906,4667,3,722,0,26878
VT094,VH048,2023-07-15,Valencia,32748,3543,6,720,0,36000
VT095,VH048,2023-04-13,Andalucía,33546,37316,3,720,1,36000
